#SRC:3C279,DATE(MJD):57849,FREQ:227.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
01.06805554,AA,PV,-4347643904.0000,-4850841088.0000,1.47487209,168.0887,0.00379983
01.06805554,AA,AP,831081.6250,-1814941.3750,8.56782188,124.2748,0.00384810
01.06805554,AP,PV,-4348469760.0000,-4849028096.0000,1.47422544,44.0919,0.02790167
01.07083333,AA,AP,830913.1250,-1815002.8750,8.56827314,124.4764,0.00409351
01.07083333,AA,PV,-4348362752.0000,-4850516992.0000,1.48670159,168.0615,0.00384718
01.07083333,AP,PV,-4349193728.0000,-4848701952.0000,1.48856284,42.3159,0.02731107
01.07361111,AA,PV,-4349058048.0000,-4850203136.0000,1.50321724,168.0466,0.00388752
01.07361111,AA,AP,830743.8750,-1815064.5000,8.56817543,124.6929,0.00395079
01.07361111,AP,PV,-4349898752.0000,-4848383488.0000,1.50465143,44.7970,0.02673785
01.07638890,AA,PV,-4349772800.0000,-4849878528.0000,1.52762726,168.0293,0.00369315
01.07916668,AA,PV,-4350490112.0000,-4849551872.0000,1.54719576,167.9525,0.00373580
01.08194447,AA,PV,-4351168512.0000,-4849242112.0000,1.46064665,167.9851,0.00389515
01.08472225,AA,PV,-4351874560.0000,-4848918528.0000,1.47781164,167.8562,0.00367899
01.08750004,AA,PV,-4352569344.0000,-4848598528.0000,1.42708142,167.9352,0.00381115
01.09027782,AA,PV,-4353246208.0000,-4848286208.0000,1.44616651,167.7374,0.00380275
01.09305552,AA,PV,-4353952768.0000,-4847959040.0000,1.50476199,167.6770,0.00391177
01.09583330,AA,PV,-4354639872.0000,-4847639552.0000,1.48294452,167.6328,0.00372040
01.09861109,AA,PV,-4355337728.0000,-4847313920.0000,1.50663361,167.6636,0.00370656
01.10138887,AA,PV,-4356015616.0000,-4846996480.0000,1.45182027,167.5942,0.00387286
01.10416666,AA,PV,-4356695040.0000,-4846677504.0000,1.57855165,167.7060,0.00377761
01.10694444,AA,PV,-4357363712.0000,-4846362112.0000,1.51392194,167.5752,0.00370311
01.10972223,AA,PV,-4358040064.0000,-4846042112.0000,1.49927230,167.4512,0.00389716
01.11250001,AA,PV,-4358729728.0000,-4845714944.0000,1.52512054,167.4738,0.00361240
01.11527780,AA,PV,-4359406080.0000,-4845392384.0000,1.45290766,167.4165,0.00369258
01.66805559,AA,AP,784827.2500,-1827805.8750,8.56846465,134.5293,0.00349543
01.66805559,AA,PV,-4446761984.0000,-4780834304.0000,1.39807993,-176.2738,0.00344586
01.66805559,AA,LM,1351751808.0000,-3236605440.0000,1.45053580,20.6283,0.00431256
01.66805559,AP,LM,1351021440.0000,-3234781696.0000,1.44390507,-113.3934,0.04266379
01.66805559,AP,PV,-4447549952.0000,-4779001344.0000,1.40243363,48.9172,0.02668297
01.66805559,LM,PV,-5798525440.0000,-1544221952.0000,0.87208104,-162.5781,0.03677502
01.67083329,AA,AP,784601.3125,-1827855.8750,8.56817641,134.5491,0.00382153
01.67083329,AA,PV,-4446970368.0000,-4780499968.0000,1.38094427,-176.3599,0.00353313
01.67083329,AA,LM,1353113088.0000,-3236705024.0000,1.38235595,20.7391,0.00440577
01.67083329,AP,PV,-4447753216.0000,-4778674688.0000,1.41180142,49.6915,0.02904698
01.67083329,AP,LM,1352328576.0000,-3234877184.0000,1.33922714,-113.2035,0.03454821
01.67083329,LM,PV,-5800076288.0000,-1543799296.0000,0.82875408,-165.4369,0.03504615
01.67361116,AA,AP,784267.5000,-1827929.7500,8.56840442,134.5627,0.00405767
01.67361116,AA,PV,-4447168512.0000,-4780177408.0000,1.54183682,-176.3369,0.00345936
01.67361116,AA,LM,1354473856.0000,-3236804608.0000,1.33561529,20.8562,0.00440765
01.67361116,AP,PV,-4447959552.0000,-4778338304.0000,1.60383580,49.7322,0.02891221
01.67361116,AP,LM,1353705344.0000,-3234977792.0000,1.22986373,-117.0511,0.03537354
01.67361116,LM,PV,-5801587712.0000,-1543386368.0000,0.83941999,-167.3393,0.03851476
01.67638886,AA,AP,784048.0625,-1827978.2500,8.56822774,134.5787,0.00334991
01.67638886,AA,LM,1355833728.0000,-3236904192.0000,1.33962467,20.9144,0.00439032
01.67638886,AA,PV,-4447368704.0000,-4779848704.0000,1.46165057,-176.3847,0.00337940
01.67638886,AP,LM,1355030784.0000,-3235074816.0000,1.30269191,-115.6270,0.03463533
01.67638886,AP,PV,-4448156672.0000,-4778014208.0000,1.47938011,48.9525,0.02607201
01.67638886,LM,PV,-5803223040.0000,-1542938624.0000,0.79074818,-164.9544,0.03423180
01.67916673,AA,PV,-4447564800.0000,-4779522560.0000,1.53258236,-176.3999,0.00350071
01.67916673,AA,AP,783781.6250,-1828037.0000,8.56823983,134.6021,0.00341449
01.67916673,AA,LM,1357192960.0000,-3237004032.0000,1.20737088,21.1861,0.00435640
01.67916673,AP,PV,-4448348160.0000,-4777694720.0000,1.53905271,49.4404,0.02677726
01.67916673,AP,LM,1356409216.0000,-3235175936.0000,1.19774699,-113.8172,0.03335748
01.67916673,LM,PV,-5804779008.0000,-1542511744.0000,0.79006980,-163.9176,0.03419499
01.68194443,AA,AP,783522.9375,-1828093.8750,8.56786365,134.6337,0.00352657
01.68194443,AA,LM,1358551424.0000,-3237103872.0000,1.08112057,21.3410,0.00431887
01.68194443,AA,PV,-4447759360.0000,-4779194368.0000,1.44900374,-176.3238,0.00333092
01.68194443,AP,LM,1357805696.0000,-3235278592.0000,1.12117096,-113.9076,0.03495825
01.68194443,AP,PV,-4448541184.0000,-4777369600.0000,1.43282766,51.1585,0.02682212
01.68194443,LM,PV,-5806310912.0000,-1542090368.0000,0.76263005,-163.0558,0.03348754
01.68472230,AA,AP,783272.8750,-1828148.7500,8.56818870,134.6419,0.00366563
01.68472230,AA,PV,-4447950848.0000,-4778868224.0000,1.44046559,-176.3728,0.00345396
01.68472230,AA,LM,1359909248.0000,-3237203968.0000,0.99736945,21.3736,0.00438801
01.68472230,AP,LM,1359130880.0000,-3235376128.0000,1.02134884,-110.4139,0.03601730
01.68472230,AP,PV,-4448736768.0000,-4777035776.0000,1.43189133,49.1736,0.02652230
01.68472230,LM,PV,-5807849472.0000,-1541666304.0000,0.72013848,-165.3599,0.03570322
01.68750000,AA,AP,782995.5000,-1828209.5000,8.56828171,134.6636,0.00363940
01.68750000,AA,LM,1361266304.0000,-3237304064.0000,0.99416619,21.5801,0.00429148
01.68750000,AA,PV,-4448140800.0000,-4778540032.0000,1.47267637,-176.4369,0.00330827
