#SRC:3C279,DATE(MJD):57854,FREQ:229.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
01.04305556,AA,AP,817401.2500,-1837565.3750,7.97967631,-114.2089,0.00383294
01.04305556,AA,PV,-4450174976.0000,-4858134528.0000,0.69296709,8.7663,0.00344485
01.04305556,AA,SP,-3268538112.0000,3258522112.0000,0.77163003,7.3284,0.00901850
01.04305556,AP,PV,-4451005440.0000,-4856287232.0000,0.68156870,124.5226,0.03099105
01.04305556,AP,SP,-3269400320.0000,3260354816.0000,0.85379809,114.9561,0.07927915
01.04305556,PV,SP,1181676928.0000,8116658176.0000,0.38407809,-88.0366,0.07440897
01.04583335,AA,PV,-4450614272.0000,-4857821696.0000,0.71561264,8.7143,0.00352052
01.04583335,AA,SP,-3266319616.0000,3258759424.0000,0.75290968,7.2408,0.00875274
01.04583335,AA,AP,817178.8750,-1837627.0000,7.97965277,-114.1758,0.00370418
01.04583335,AP,PV,-4451439616.0000,-4855977984.0000,0.69089599,118.0012,0.03155078
01.04583335,AP,SP,-3267078144.0000,3260603392.0000,0.92748753,120.4960,0.08419136
01.04583335,PV,SP,1184296064.0000,8116573696.0000,0.39070645,-97.3860,0.07260619
01.04861113,AA,SP,-3264069120.0000,3259000064.0000,0.80912518,7.1905,0.00990084
01.04861113,AA,PV,-4451073024.0000,-4857493504.0000,0.73897758,8.9006,0.00362357
01.04861113,AA,AP,816963.3750,-1837686.6250,7.97977204,-114.1531,0.00375553
01.04861113,AP,SP,-3264767232.0000,3260850432.0000,0.80501897,120.6151,0.08045888
01.04861113,AP,PV,-4451901952.0000,-4855647232.0000,0.73964820,122.2002,0.02882583
01.04861113,PV,SP,1187024768.0000,8116485632.0000,0.45758862,-93.6964,0.07260509
01.05138892,AA,AP,816761.5000,-1837742.3750,7.97974042,-114.1373,0.00398931
01.05138892,AA,PV,-4451545088.0000,-4857154048.0000,0.73896633,8.7069,0.00347147
01.05138892,AA,SP,-3261795072.0000,3259242496.0000,0.79785253,6.7670,0.00908730
01.05138892,AP,PV,-4452364800.0000,-4855313920.0000,0.72759812,123.1486,0.02932279
01.05138892,AP,SP,-3262611968.0000,3261080320.0000,0.87257101,125.3847,0.07668434
01.05138892,PV,SP,1189748224.0000,8116398080.0000,0.36407998,-85.6921,0.06963930
01.05416670,AA,SP,-3259440384.0000,3259493376.0000,0.80103174,7.3253,0.01000116
01.05416670,AA,AP,816520.9375,-1837808.6250,7.97971662,-114.1146,0.00381692
01.05416670,AA,PV,-4451993088.0000,-4856829952.0000,0.69992314,8.8065,0.00341786
01.05416670,AP,PV,-4452809728.0000,-4854992384.0000,0.69329666,123.4794,0.02915393
01.05416670,AP,SP,-3260371712.0000,3261318912.0000,0.84376837,119.0314,0.07778373
01.05416670,PV,SP,1192414464.0000,8116311552.0000,0.45486635,-103.4841,0.07260289
01.05694440,AA,SP,-3257291264.0000,3259721984.0000,0.80972435,7.0648,0.00915264
