# SRC:3C279 DATE(MJD):57848 FREQ:227.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
02.85138881      AA     LM   1834108672.0000  -3284096512.0000  0.87093012     22.3454  0.00270770
02.85138881      AA     AP       648081.3125     -1849165.5000  8.59004221    170.7625  0.00306879
02.85138881      AA     PV  -4337944576.0000  -4649876480.0000  1.88572672   -143.1721  0.00344167
02.85138881      AP     LM   1833445376.0000  -3282245376.0000  0.86234131   -149.3255  0.02164219
02.85138881      AP     PV  -4338605056.0000  -4648032768.0000  1.88654252     46.6726  0.02862614
02.85138881      LM     PV  -6172057088.0000  -1365778944.0000  0.60639016   -135.9310  0.02426402
02.85416669      AA     PV  -4337218560.0000  -4649564672.0000  1.94797271   -143.1817  0.00355364
02.85416669      AA     AP       647666.5625     -1849213.1250  8.58777218    170.7810  0.00299865
02.85416669      AA     LM   1835130112.0000  -3284231936.0000  0.85302880     22.3218  0.00257259
02.85416669      AP     PV  -4337868288.0000  -4647716352.0000  1.91494732     47.4472  0.02949919
02.85416669      AP     LM   1834482432.0000  -3282382848.0000  0.88383334   -147.3220  0.02089091
02.85416669      LM     PV  -6172331520.0000  -1365325696.0000  0.55692495   -133.6160  0.02376259
02.85694438      AA     LM   1836191360.0000  -3284372992.0000  0.86958917     22.2941  0.00275768
02.85694438      AA     AP       647251.4375     -1849260.7500  8.58889419    170.7912  0.00297112
02.85694438      AA     PV  -4336456192.0000  -4649238528.0000  1.89066305   -143.1899  0.00342953
02.85694438      AP     LM   1835496192.0000  -3282517248.0000  0.87428974   -150.1196  0.02145368
02.85694438      AP     PV  -4337091072.0000  -4647384064.0000  1.87731206     47.5913  0.02785008
02.85694438      LM     PV  -6172603392.0000  -1364871680.0000  0.54247242   -137.0012  0.02376281
02.85972226      AA     LM   1837195008.0000  -3284506368.0000  0.86342087     22.2836  0.00295601
02.85972226      AA     AP       646828.0625     -1849309.2500  8.58903975    170.8043  0.00333178
02.85972226      AA     PV  -4335708672.0000  -4648919552.0000  1.98148293   -143.1863  0.00341937
02.85972226      AP     LM   1836505984.0000  -3282651392.0000  0.88928216   -148.8095  0.02222189
02.85972226      AP     PV  -4336355840.0000  -4647070208.0000  1.95151205     44.7274  0.02883259
02.85972226      LM     PV  -6172880384.0000  -1364402560.0000  0.56916168   -135.5510  0.02477085
02.86249995      AA     LM   1838152192.0000  -3284633856.0000  0.85735670     22.3206  0.00277973
02.86249995      AA     PV  -4334948352.0000  -4648596480.0000  2.03568366   -143.1790  0.00361398
02.86249995      AA     AP       646420.1875     -1849355.8750  8.58733968    170.8334  0.00308262
02.86249995      AP     PV  -4335630848.0000  -4646761984.0000  2.01466609     44.9801  0.03133159
02.86249995      AP     LM   1837526272.0000  -3282787072.0000  0.87235819   -151.6550  0.02200825
02.86249995      LM     PV  -6173130240.0000  -1363974656.0000  0.64242650   -137.8445  0.02474988
02.86527783      AA     LM   1839191936.0000  -3284772608.0000  0.87125498     22.2668  0.00290799
02.86527783      AA     AP       646017.8125     -1849401.8750  8.58841101    170.8411  0.00325224
02.86527783      AA     PV  -4334197760.0000  -4648278016.0000  1.96779251   -143.1864  0.00361661
02.86527783      AP     PV  -4334843904.0000  -4646428672.0000  1.95697308     46.5019  0.02837305
02.86527783      AP     LM   1838554496.0000  -3282924288.0000  0.87236236   -150.5834  0.02133128
02.86527783      LM     PV  -6173403136.0000  -1363501952.0000  0.57828754   -132.8535  0.02420752
02.86805552      AA     AP       645580.4375     -1849451.7500  8.58547060    170.8693  0.00419072
02.86805552      AA     PV  -4333433856.0000  -4647955456.0000  1.95322368   -143.2012  0.00364777
02.86805552      AA     LM   1840221952.0000  -3284910080.0000  0.85333677     22.2368  0.00268207
02.86805552      AP     PV  -4334113792.0000  -4646120448.0000  1.92578659     46.6903  0.03516915
02.86805552      AP     LM   1839582336.0000  -3283061504.0000  0.86526376   -148.8686  0.02364495
02.86805552      LM     PV  -6173651968.0000  -1363064832.0000  0.58408963   -129.4941  0.02587038
02.87083340      AA     AP       645161.5000     -1849499.5000  8.58811626    170.8789  0.00367026
02.87083340      AA     LM   1841168896.0000  -3285036800.0000  0.85877908     22.2428  0.00290631
02.87083340      AA     PV  -4332708352.0000  -4647649792.0000  1.90665061   -143.1972  0.00369848
02.87083340      AP     LM   1840582528.0000  -3283195136.0000  0.86446723   -147.4324  0.02262407
02.87083340      AP     PV  -4333350912.0000  -4645799424.0000  1.89488138     46.8289  0.02991775
02.87083340      LM     PV  -6173922816.0000  -1362582272.0000  0.52417371   -131.8867  0.02585393
02.87361109      AA     AP       644742.6875     -1849547.1250  8.58796054    170.8860  0.00339686
02.87361109      AA     PV  -4331939840.0000  -4647327232.0000  2.01412573   -143.1942  0.00356020
02.87361109      AA     LM   1842221440.0000  -3285177856.0000  0.85286305     22.1574  0.00266944
02.87361109      AP     LM   1841571328.0000  -3283327488.0000  0.88465389   -148.8050  0.02439470
02.87361109      AP     PV  -4332577280.0000  -4645474816.0000  1.98187042     46.2264  0.02966045
02.87361109      LM     PV  -6174162944.0000  -1362149376.0000  0.59906236   -134.7405  0.02416681
02.87638897      AA     AP       644331.5625     -1849593.7500  8.58846402    170.9001  0.00413893
02.87638897      AA     PV  -4331187712.0000  -4647012864.0000  1.93039938   -143.2167  0.00391549
02.87638897      AA     LM   1843238272.0000  -3285314304.0000  0.87845063     22.1525  0.00268833
02.87638897      AP     PV  -4331799552.0000  -4645149184.0000  1.94256209     48.2181  0.03395889
02.87638897      AP     LM   1842611200.0000  -3283467008.0000  0.85778176   -151.1290  0.02442581
02.87638897      LM     PV  -6174415872.0000  -1361687680.0000  0.52275808   -133.1010  0.02415729
02.87916666      AA     AP       643938.4375     -1849638.3750  8.58874691    170.9188  0.00353698
02.87916666      AA     PV  -4330420224.0000  -4646692352.0000  2.01105640   -143.2231  0.00358214
02.87916666      AA     LM   1844247424.0000  -3285449728.0000  0.86370538     22.1464  0.00257234
02.87916666      AP     PV  -4331084288.0000  -4644851200.0000  1.98791535     46.2804  0.03293761
02.87916666      AP     LM   1843574656.0000  -3283596288.0000  0.88549073   -149.9358  0.02365484
02.87916666      LM     PV  -6174662656.0000  -1361231232.0000  0.59562594   -137.4718  0.02414689
02.88194436      AA     AP       643514.5000     -1849686.3750  8.58962839    170.9367  0.00406383
02.88194436      AA     PV  -4329659392.0000  -4646375936.0000  1.95792141   -143.1895  0.00357975
02.88194436      AA     LM   1845240320.0000  -3285583616.0000  0.86283616     22.1111  0.00267707
02.88194436      AP     PV  -4330298368.0000  -4644524544.0000  1.95309941     46.1723  0.03175443
02.88194436      AP     LM   1844631296.0000  -3283738368.0000  0.85440253   -146.4691  0.02348674
02.88194436      LM     PV  -6174898176.0000  -1360789120.0000  0.61049152   -133.7824  0.02412668
02.88472223      AA     AP       643073.4375     -1849736.2500  8.58744082    170.9655  0.00340534
02.88472223      AA     PV  -4328875520.0000  -4646051328.0000  1.85042992   -143.2135  0.00355434
02.88472223      AA     LM   1846262656.0000  -3285721344.0000  0.85710011     22.1206  0.00260229
02.88472223      AP     LM   1845615872.0000  -3283870976.0000  0.85713532   -147.7842  0.02321937
02.88472223      AP     PV  -4329518592.0000  -4644201472.0000  1.84098332     45.4395  0.02981180
02.88472223      LM     PV  -6175147008.0000  -1360316160.0000  0.50946885   -135.7456  0.02464119
02.88749993      AA     AP       642666.3750     -1849782.1250  8.58868926    170.9759  0.00332305
02.88749993      AA     LM   1847265152.0000  -3285856768.0000  0.84029551     22.0779  0.00279155
02.88749993      AA     PV  -4328105984.0000  -4645733376.0000  1.96186220   -143.2233  0.00350517
02.88749993      AP     LM   1846629760.0000  -3284007936.0000  0.80968611   -148.4186  0.02264816
02.88749993      AP     PV  -4328756736.0000  -4643886592.0000  1.97958415     46.2654  0.02940306
02.88749993      LM     PV  -6175377920.0000  -1359870848.0000  0.54105756   -135.2923  0.02411706
02.89027780      AA     AP       642241.2500     -1849830.1250  8.58788555    170.9936  0.00325399
02.89027780      AA     LM   1848228352.0000  -3285986816.0000  0.84206937     22.0628  0.00276850
02.89027780      AA     PV  -4327340032.0000  -4645417984.0000  1.85680526   -143.2229  0.00362532
02.89027780      AP     PV  -4327982080.0000  -4643568128.0000  1.84777646     46.7022  0.03039928
02.89027780      AP     LM   1847642240.0000  -3284144640.0000  0.84616111   -150.3187  0.02266570
02.89027780      LM     PV  -6175603200.0000  -1359429760.0000  0.53454811   -132.0059  0.02464414
02.89305550      AA     AP       641818.1875     -1849877.7500  8.58871469    170.9869  0.00320178
02.89305550      AA     LM   1849241728.0000  -3286124032.0000  0.84323620     21.9693  0.00277984
02.89305550      AA     PV  -4326556672.0000  -4645095936.0000  1.89377353   -143.1951  0.00356652
02.89305550      AP     LM   1848676608.0000  -3284284672.0000  0.83702445   -150.6572  0.02334225
02.89305550      AP     PV  -4327206912.0000  -4643249664.0000  1.89375793     46.0352  0.03041286
02.89305550      LM     PV  -6175845888.0000  -1358948608.0000  0.52221103   -134.8336  0.02578628
02.89583337      AA     AP       641400.9375     -1849924.6250  8.58705533    171.0105  0.00329223
02.89583337      AA     LM   1850288128.0000  -3286266112.0000  0.83392542     22.0035  0.00262541
02.89583337      AA     PV  -4325780480.0000  -4644778496.0000  1.90569136   -143.2393  0.00344802
02.89583337      AP     PV  -4326416384.0000  -4642926080.0000  1.88584860     44.2116  0.03042070
02.89583337      AP     LM   1849629952.0000  -3284413952.0000  0.84855305   -148.3026  0.02219759
02.89583337      LM     PV  -6176061952.0000  -1358513408.0000  0.56578682   -133.5153  0.02463958
02.89861107      AA     LM   1851277952.0000  -3286400512.0000  0.85398586     22.0760  0.00281364
02.89861107      AA     AP       640983.6250     -1849971.3750  8.58792487    171.0314  0.00313464
02.89861107      AA     PV  -4325000704.0000  -4644460544.0000  1.91193609   -143.2673  0.00345806
02.89861107      AP     LM   1850656128.0000  -3284552960.0000  0.85610460   -149.1360  0.02189394
02.89861107      AP     PV  -4325641728.0000  -4642610176.0000  1.90233733     45.9920  0.02871584
02.89861107      LM     PV  -6176285696.0000  -1358055808.0000  0.53394356   -134.3120  0.02519540
