# SRC:3C279 DATE(MJD):57853 FREQ:229.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
01.98472220      AA     LM   1633133312.0000  -3288126976.0000  0.64957884   -126.2058  0.00752978
01.98472220      AA     PV  -4477143552.0000  -4754117632.0000  0.89011279     30.7452  0.00325541
01.98472220      AA     AP       728143.3125     -1855573.7500  7.97000491    101.8673  0.00351910
01.98472220      AP     PV  -4477865984.0000  -4752256000.0000  0.89452133    -73.2516  0.02883596
01.98472220      AP     LM   1632372608.0000  -3286268160.0000  0.63821248    136.0103  0.05971924
01.98472220      LM     PV  -6110240256.0000  -1465991808.0000  0.30183905    -96.9315  0.05412907
01.98750007      AA     AP       727801.7500     -1855626.5000  7.97006922    101.8749  0.00380104
01.98750007      AA     LM   1634289664.0000  -3288242176.0000  0.56973268   -126.6473  0.00771923
01.98750007      AA     PV  -4476859904.0000  -4753797632.0000  0.92485967     30.7181  0.00338193
01.98750007      AP     LM   1633566080.0000  -3286386944.0000  0.66127227    127.3344  0.06144665
01.98750007      AP     PV  -4477586432.0000  -4751940608.0000  0.91331101    -71.5970  0.02748022
01.98750007      LM     PV  -6111141376.0000  -1465549056.0000  0.23123516   -101.5907  0.05352617
01.99027777      AA     AP       727423.1875     -1855684.7500  7.97001834    101.8815  0.00402572
01.99027777      AA     PV  -4476567040.0000  -4753470464.0000  0.89187208     30.6653  0.00357207
01.99027777      AA     LM   1635493632.0000  -3288362240.0000  0.64032803   -126.4398  0.00781869
01.99027777      AP     LM   1634775040.0000  -3286507520.0000  0.61925166    128.3743  0.06154091
01.99027777      AP     PV  -4477291520.0000  -4751611392.0000  0.89346908    -74.5962  0.02633193
01.99027777      LM     PV  -6112054784.0000  -1465098752.0000  0.29564212   -125.7277  0.05585473
01.99305564      AA     AP       727107.5000     -1855733.3750  7.97005495    101.8841  0.00360453
01.99305564      AA     LM   1636694912.0000  -3288482304.0000  0.68267499   -126.0697  0.00755330
01.99305564      AA     PV  -4476258304.0000  -4753127424.0000  0.92729402     30.6675  0.00336344
01.99305564      AP     PV  -4476985344.0000  -4751271936.0000  0.93400722    -71.9022  0.02798739
01.99305564      AP     LM   1635949824.0000  -3286624768.0000  0.65557537    129.2084  0.06146803
01.99305564      LM     PV  -6112967680.0000  -1464646784.0000  0.24589191    -90.5033  0.05607953
01.99583334      AA     PV  -4475961344.0000  -4752800768.0000  0.89648748     30.6373  0.00337333
01.99583334      AA     AP       726752.9375     -1855787.7500  7.97005511    101.8919  0.00350578
01.99583334      AA     LM   1637903232.0000  -3288603136.0000  0.64391545   -126.1469  0.00711977
01.99583334      AP     LM   1637155584.0000  -3286745088.0000  0.63094596    133.4884  0.05957246
01.99583334      AP     PV  -4476689920.0000  -4750946816.0000  0.89863782    -67.4730  0.02648389
01.99583334      LM     PV  -6113847296.0000  -1464210048.0000  0.23196256   -108.0819  0.05622340
01.99861103      AA     PV  -4475666944.0000  -4752479232.0000  0.96424889     30.6125  0.00348349
01.99861103      AA     AP       726414.6250     -1855839.6250  7.97004055    101.8944  0.00366418
01.99861103      AA     LM   1639106688.0000  -3288723456.0000  0.62637947   -126.3081  0.00734616
01.99861103      AP     PV  -4476389888.0000  -4750620160.0000  0.96714263    -69.5857  0.02685386
01.99861103      AP     LM   1638368256.0000  -3286866432.0000  0.59965484    133.4840  0.05909855
01.99861103      LM     PV  -6114746880.0000  -1463761408.0000  0.26039021    -99.0435  0.05612107
02.00138891      AA     PV  -4475354112.0000  -4752140288.0000  0.94679436     30.5564  0.00327881
02.00138891      AA     AP       726055.3750     -1855894.6250  7.97006788    101.9018  0.00352777
02.00138891      AA     LM   1640309376.0000  -3288844288.0000  0.57829108   -125.8687  0.00743445
02.00138891      AP     PV  -4476079616.0000  -4750283776.0000  0.95430510    -71.5300  0.02870974
